Correlating 16 stations with 50 channels and integration length 100
Sending fixed point data to GPU.
Found device 0: GeForce GTX 780 Ti
Using device 0: GeForce GTX 780 Ti
Calling CPU X-Engine
Calling GPU X-Engine
Elapsed time 0.184956 ms total, 0.184956 ms/call average, theoretical max BW 27.033 MHz
Checking result (tolerance == 0.001)...
0  0 0 0    0 0 0     325120  325120  0  0 (325120 325120)
1  0 0 136  0 0 544   295168  295168  0  -0 (295168 295168)
2  0 0 272  0 0 1088  332544  332544  0  -0 (332544 332544)
3  0 0 408  0 0 1632  342528  342528  0  0 (342528 342528)
4  0 0 544  0 0 2176  302336  302336  0  -0 (302336 302336)
5  0 0 680  0 0 2720  332800  332800  0  -0 (332800 332800)
6  0 0 816  0 0 3264  352256  352256  0  0 (352256 352256)
7  0 0 952  0 0 3808  337664  337664  0  0 (337664 337664)
8  0 0 1088 0 0 4352  296192  296192  0  -0 (296192 296192)
9  0 0 1224 0 0 4896  303616  303616  0  -0 (303616 303616)
10 0 0 1360 0 0 5440  355072  355072  0  0 (355072 355072)
11 0 0 1496 0 0 5984  335616  335616  0  0 (335616 335616)
12 0 0 1632 0 0 6528  251136  251136  0  0 (251136 251136)
13 0 0 1768 0 0 7072  312832  312832  0  0 (312832 312832)
14 0 0 1904 0 0 7616  327424  327424  0  -0 (327424 327424)
15 0 0 2040 0 0 8160  349952  349952  0  -0 (349952 349952)
16 0 0 2176 0 0 8704  340736  340736  0  -0 (340736 340736)
17 0 0 2312 0 0 9248  313600  313600  0  0 (313600 313600)
18 0 0 2448 0 0 9792  337408  337408  0  0 (337408 337408)
19 0 0 2584 0 0 10336 270080  270080  0  0 (270080 270080)
20 0 0 2720 0 0 10880 302336  302336  0  -0 (302336 302336)
21 0 0 2856 0 0 11424 352256  352256  0  -0 (352256 352256)
22 0 0 2992 0 0 11968 293632  293632  0  -0 (293632 293632)
23 0 0 3128 0 0 12512 314112  314112  0  0 (314112 314112)
24 0 0 3264 0 0 13056 282624  282624  0  0 (282624 282624)
25 0 0 3400 0 0 13600 298496  298496  0  0 (298496 298496)
26 0 0 3536 0 0 14144 302080  302080  0  0 (302080 302080)
27 0 0 3672 0 0 14688 323840  323840  0  -0 (323840 323840)
28 0 0 3808 0 0 15232 397568  397568  0  0 (397568 397568)
29 0 0 3944 0 0 15776 303104  303104  0  -0 (303104 303104)
30 0 0 4080 0 0 16320 320512  320512  0  -0 (320512 320512)
31 0 0 4216 0 0 16864 282624  282624  0  0 (282624 282624)
32 0 0 4352 0 0 17408 329728  329728  0  0 (329728 329728)
33 0 0 4488 0 0 17952 306944  306944  0  0 (306944 306944)
34 0 0 4624 0 0 18496 310272  310272  0  0 (310272 310272)
35 0 0 4760 0 0 19040 289792  289792  0  0 (289792 289792)
36 0 0 4896 0 0 19584 308480  308480  0  0 (308480 308480)
37 0 0 5032 0 0 20128 270592  270592  0  -0 (270592 270592)
38 0 0 5168 0 0 20672 335360  335360  0  0 (335360 335360)
39 0 0 5304 0 0 21216 330752  330752  0  0 (330752 330752)
40 0 0 5440 0 0 21760 340480  340480  0  -0 (340480 340480)
41 0 0 5576 0 0 22304 326144  326144  0  0 (326144 326144)
42 0 0 5712 0 0 22848 324096  324096  0  -0 (324096 324096)
43 0 0 5848 0 0 23392 346624  346624  0  -0 (346624 346624)
44 0 0 5984 0 0 23936 371968  371968  0  -0 (371968 371968)
45 0 0 6120 0 0 24480 344576  344576  0  0 (344576 344576)
46 0 0 6256 0 0 25024 293888  293888  0  0 (293888 293888)
47 0 0 6392 0 0 25568 316416  316416  0  0 (316416 316416)
48 0 0 6528 0 0 26112 310272  310272  0  -0 (310272 310272)
49 0 0 6664 0 0 26656 332800  332800  0  -0 (332800 332800)
0  0 0 0    0 1 1     5120    5120    -36864  -36864 (37217.9 37217.9)
1  0 0 136  0 1 545   8960    8960    12032  12032 (15001.7 15001.7)
2  0 0 272  0 1 1089  32512   32512   -22016  -22016 (39264.9 39264.9)
3  0 0 408  0 1 1633  -16896  -16896  -18688  -18688 (25193.6 25193.6)
4  0 0 544  0 1 2177  -22016  -22016  -7168  -7168 (23153.5 23153.5)
5  0 0 680  0 1 2721  18944   18944   1792  1792 (19028.6 19028.6)
6  0 0 816  0 1 3265 -35584  -35584  23808  23808 (42814 42814)
7  0 0 952  0 1 3809 -26368  -26368  -21760  -21760 (34187.3 34187.3)
8  0 0 1088 0 1 4353 44288  44288  23040  23040 (49922.6 49922.6)
9  0 0 1224 0 1 4897 -45056  -45056  -46848  -46848 (64998.3 64998.3)
10 0 0 1360 0 1 5441 11776  11776  36864  36864 (38699.2 38699.2)
11 0 0 1496 0 1 5985 29952  29952  -10752  -10752 (31823.4 31823.4)
12 0 0 1632 0 1 6529 -23040  -23040  27392  27392 (35793.3 35793.3)
13 0 0 1768 0 1 7073 12800  12800  -14336  -14336 (19218.8 19218.8)
14 0 0 1904 0 1 7617 -42496  -42496  -27904  -27904 (50838.4 50838.4)
15 0 0 2040 0 1 8161 -14848  -14848  -19712  -19712 (24678.5 24678.5)
16 0 0 2176 0 1 8705 7168  7168  13056  13056 (14894.3 14894.3)
17 0 0 2312 0 1 9249 -9216  -9216  11008  11008 (14356.6 14356.6)
18 0 0 2448 0 1 9793 -32512  -32512  0  0 (32512 32512)
19 0 0 2584 0 1 10337 -24320  -24320  16640  16640 (29467.8 29467.8)
20 0 0 2720 0 1 10881 9472  9472  -52224  -52224 (53076 53076)
21 0 0 2856 0 1 11425 9728  9728  11264  11264 (14883.3 14883.3)
22 0 0 2992 0 1 11969 33280  33280  -34048  -34048 (47611.2 47611.2)
23 0 0 3128 0 1 12513 -4096  -4096  5632  5632 (6963.95 6963.95)
24 0 0 3264 0 1 13057 7424  7424  16128  16128 (17754.7 17754.7)
25 0 0 3400 0 1 13601 64512  64512  4608  4608 (64676.4 64676.4)
26 0 0 3536 0 1 14145 -5888  -5888  27904  27904 (28518.4 28518.4)
27 0 0 3672 0 1 14689 -38912  -38912  15360  15360 (41833.9 41833.9)
28 0 0 3808 0 1 15233 -4608  -4608  1536  1536 (4857.26 4857.26)
29 0 0 3944 0 1 15777 4096  4096  -18688  -18688 (19131.6 19131.6)
30 0 0 4080 0 1 16321 -2048  -2048  16896  16896 (17019.7 17019.7)
31 0 0 4216 0 1 16865 -8960  -8960  -38656  -38656 (39680.8 39680.8)
32 0 0 4352 0 1 17409 23552  23552  -7936  -7936 (24853.1 24853.1)
33 0 0 4488 0 1 17953 -17664  -17664  -51712  -51712 (54645.7 54645.7)
34 0 0 4624 0 1 18497 -512  -512  7168  7168 (7186.26 7186.26)
